"orderNumber","orderDate","requiredDate","shippedDate","status","customerName","contactFirstName","contactLastName","city","state","postalCode","country","creditLimit","employeeFirstName","employeeLastName","officeCity","officeState","officeCountry","officePostalCode","territory","orderLineNumber","productCode","quantityOrdered","priceEach","productName","productScale","buyPrice","productVendor","quantityInStock","productLine"
10100,"2020-09-02","2020-09-09","2020-09-06",Shipped,Online Diecast Creations Co.,Dorothy,Young,Nashua,NH,"62005",USA,114200.00,Steve,Patterson,Boston,MA,USA,"02107",NA,1,S24_3969,49,35.29,"1936 Mercedes Benz 500k Roadster","1:24",21.75,Red Start Diecast,2081,Vintage Cars
10100,"2020-09-02","2020-09-09","2020-09-06",Shipped,Online Diecast Creations Co.,Dorothy,Young,Nashua,NH,"62005",USA,114200.00,Steve,Patterson,Boston,MA,USA,"02107",NA,2,S18_2248,50,55.09,"1911 Ford Town Car","1:18",33.30,Motor City Art Classics,540,Vintage Cars
10100,"2020-09-02","2020-09-09","2020-09-06",Shipped,Online Diecast Creations Co.,Dorothy,Young,Nashua,NH,"62005",USA,114200.00,Steve,Patterson,Boston,MA,USA,"02107",NA,3,S18_1749,30,136.00,"1917 Grand Touring Sedan","1:18",86.70,Welly Diecast Productions,2724,Vintage Cars
10100,"2020-09-02","2020-09-09","2020-09-06",Shipped,Online Diecast Creations Co.,Dorothy,Young,Nashua,NH,"62005",USA,114200.00,Steve,Patterson,Boston,MA,USA,"02107",NA,4,S18_4409,22,75.46,"1932 Alfa Romeo 8C2300 Spider Sport","1:18",43.26,Exoto Designs,6553,Vintage Cars
10101,"2020-09-05","2020-09-14","2020-09-07",Shipped,"Blauer See Auto, Co.",Roland,Keitel,Frankfurt,,"60528",Germany,59700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,1,S18_2795,26,167.06,"1928 Mercedes-Benz SSK","1:18",72.56,Gearbox Collectibles,548,Vintage Cars
10101,"2020-09-05","2020-09-14","2020-09-07",Shipped,"Blauer See Auto, Co.",Roland,Keitel,Frankfurt,,"60528",Germany,59700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,2,S24_2022,46,44.35,"1938 Cadillac V-16 Presidential Limousine","1:24",20.61,Classic Metal Creations,2847,Vintage Cars
10101,"2020-09-05","2020-09-14","2020-09-07",Shipped,"Blauer See Auto, Co.",Roland,Keitel,Frankfurt,,"60528",Germany,59700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,3,S24_1937,45,32.53,"1939 Chevrolet Deluxe Coupe","1:24",22.57,Motor City Art Classics,7332,Vintage Cars
10101,"2020-09-05","2020-09-14","2020-09-07",Shipped,"Blauer See Auto, Co.",Roland,Keitel,Frankfurt,,"60528",Germany,59700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,4,S18_2325,25,108.06,"1932 Model A Ford J-Coupe","1:18",58.48,Autoart Studio Design,9354,Vintage Cars
10102,"2020-09-06","2020-09-14","2020-09-10",Shipped,Vitachrome Inc.,Michael,Frick,NYC,NY,"10022",USA,76400.00,Foon Yue,Tseng,NYC,NY,USA,"10022",NA,1,S18_1367,41,43.13,"1936 Mercedes-Benz 500K Special Roadster","1:18",24.26,Studio M Art Models,8635,Vintage Cars
10102,"2020-09-06","2020-09-14","2020-09-10",Shipped,Vitachrome Inc.,Michael,Frick,NYC,NY,"10022",USA,76400.00,Foon Yue,Tseng,NYC,NY,USA,"10022",NA,2,S18_1342,39,95.55,"1937 Lincoln Berline","1:18",60.62,Motor City Art Classics,8693,Vintage Cars
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,1,S24_2300,36,107.34,"1962 Volkswagen Microbus","1:24",61.34,Autoart Studio Design,2327,Trucks and Buses
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,2,S18_2432,22,58.34,"1926 Ford Fire Engine","1:18",24.92,Carousel DieCast Legends,2018,Trucks and Buses
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,3,S32_1268,31,92.46,"1980â€™s GM Manhattan Express","1:32",53.93,Motor City Art Classics,5099,Trucks and Buses
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,4,S10_4962,42,119.67,"1962 LanciaA Delta 16V","1:10",103.42,Second Gear Diecast,6791,Classic Cars
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,5,S18_4600,36,98.07,"1940s Ford truck","1:18",84.76,Motor City Art Classics,3128,Trucks and Buses
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,6,S700_2824,42,94.07,"1982 Camaro Z28","1:18",46.53,Carousel DieCast Legends,6934,Classic Cars
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,7,S32_3522,45,63.35,"1996 Peterbilt 379 Stake Bed with Outrigger","1:32",33.61,Red Start Diecast,814,Trucks and Buses
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,8,S12_1666,27,121.64,"1958 Setra Bus","1:12",77.90,Welly Diecast Productions,1579,Trucks and Buses
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,9,S18_4668,41,40.75,"1939 Cadillac Limousine","1:18",23.14,Studio M Art Models,6645,Vintage Cars
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,10,S18_1097,35,94.50,"1940 Ford Pickup Truck","1:18",58.33,Studio M Art Models,2613,Trucks and Buses
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,11,S10_1949,26,214.30,"1952 Alpine Renault 1300","1:10",98.58,Classic Metal Creations,7305,Classic Cars
